=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.28 11:27:13 =~=~=~=~=~=~=~=~=~=~=~=
CO2(ppm):583,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:583
CO2(ppm):400,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):400,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):401,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):400,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):400,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):397,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):396,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):391,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):387,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):385,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):388,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):397,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):395,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):380,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):388,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):386,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):386,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):392,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):393,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):394,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):390,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):397,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):396,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):396,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):395,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):397,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):392,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):384,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):390,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):383,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):383,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):390,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):397,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):400,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):397,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):392,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):385,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):382,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):376,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):372,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):371,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):372,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):373,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):370,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):374,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):371,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):365,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):360,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):366,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):380,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):381,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):367,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):366,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):367,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):366,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):366,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):365,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):364,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):365,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):368,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):361,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):370,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):372,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):376,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):382,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):386,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):395,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):396,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):400,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):400,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):400,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):398,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):398,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):400,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):400,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):401,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):400,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):400,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):400,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):394,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):394,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):393,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):397,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):393,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):395,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):393,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):393,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):388,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):390,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):391,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):390,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):400,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):395,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):394,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):394,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):398,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):394,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):391,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):388,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):388,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):388,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):390,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):385,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):392,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):386,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):371,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):373,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):380,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):375,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):374,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):375,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):371,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):373,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):375,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):371,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):374,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):378,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):376,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):377,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):383,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):383,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):394,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):396,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):398,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):395,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):392,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):395,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):395,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):392,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):393,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):390,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):388,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):387,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):390,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):385,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):382,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):381,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):380,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):380,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):380,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):387,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):394,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):393,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):393,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):395,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):397,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):400,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):401,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):401,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):400,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):398,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):395,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):392,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):385,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):383,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):383,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):386,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):383,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):385,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):384,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):390,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):390,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):391,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):392,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):392,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):393,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):395,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):395,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):398,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):400,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):401,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):402,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):402,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):402,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):404,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):404,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):405,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):406,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):407,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):407,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):409,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):409,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):409,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):413,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):413,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):417,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):420,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):425,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):423,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):421,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):418,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):421,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):423,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):422,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):430,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):429,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):430,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):429,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):432,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):430,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):425,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):424,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):427,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):426,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):425,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):426,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):424,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):421,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):420,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):422,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):422,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):421,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):419,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):419,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):421,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):419,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):420,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):422,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):424,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):425,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):427,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):425,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):421,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):425,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):427,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):429,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):428,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):429,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):428,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):430,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):432,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):436,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):433,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):434,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):436,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):437,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):437,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):436,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):439,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):441,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):440,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):436,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):432,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):434,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):434,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):430,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):424,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):421,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):422,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):412,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):409,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):408,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):408,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):408,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):407,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):407,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):407,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):407,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):405,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):404,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):404,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):403,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):402,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):402,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):403,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):402,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):403,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):402,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):401,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):400,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):401,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):400,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):400,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):400,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):398,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):397,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):400,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):400,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):400,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):400,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):400,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):394,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):387,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):390,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):386,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):378,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):380,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):371,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):374,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):372,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):366,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):363,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):357,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):353,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):374,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):373,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):361,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):367,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):363,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):358,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):346,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):350,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):354,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):361,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):374,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):378,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):375,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):381,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):386,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):390,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):394,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):400,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):394,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):403,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):402,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):404,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):403,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):402,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):402,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):401,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):402,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):405,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):404,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):404,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):405,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):404,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):406,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):405,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):403,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):404,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):404,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):405,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:300
